id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG1513,Romeo and Juliet,"Shakespeare, William",1564.0,1616.0,['en'],60644,"{'Vendetta -- Drama', 'Conflict of generations -- Drama', 'Verona (Italy) -- Drama', 'Tragedies', 'Romeo (Fictitious character) -- Drama', 'Juliet (Fictitious character) -- Drama', 'Youth -- Drama'}",
PG1342,Pride and Prejudice,"Austen, Jane",1775.0,1817.0,['en'],53375,"{'Love stories', 'Sisters -- Fiction', 'Courtship -- Fiction', 'England -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'Social classes -- Fiction'}",
PG25344,The Scarlet Letter,"Hawthorne, Nathaniel",1804.0,1864.0,['en'],38073,"{'Psychological fiction', 'Women immigrants -- Fiction', 'Adultery -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Revenge -- Fiction', 'Puritans -- Fiction', 'Historical fiction', 'Married women -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Clergy -- Fiction', 'Illegitimate children -- Fiction'}",
PG345,Dracula,"Stoker, Bram",1847.0,1912.0,['en'],30637,"{'Horror tales', 'Gothic fiction', 'Whitby (England) -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Epistolary fiction', 'Vampires -- Fiction', 'Transylvania (Romania) -- Fiction'}",
PG5200,Metamorphosis,"Kafka, Franz",1883.0,1924.0,['en'],25218,"{'Psychological fiction', 'Metamorphosis -- Fiction'}",
PG174,The Picture of Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['en'],24750,"{'Paranormal fiction', 'Appearance (Philosophy) -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Supernatural -- Fiction', 'Conduct of life -- Fiction', 'Didactic fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'Portraits -- Fiction'}",
PG26184,Simple Sabotage Field Manual,United States. Office of Strategic Services,,,['en'],24573,{'Sabotage'},
PG64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",1896.0,1940.0,['en'],24469,"{'Psychological fiction', 'First loves -- Fiction', 'Rich people -- Fiction', 'Married women -- Fiction', 'Long Island (N.Y.) -- Fiction'}",
PG2542,A Doll's House : a play,"Ibsen, Henrik",1828.0,1906.0,['en'],23167,"{'Man-woman relationships -- Drama', 'Marriage -- Drama', 'Norwegian drama -- Translations into English', 'Wives -- Drama'}",
PG1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1860.0,1935.0,['en'],22258,"{'Psychological fiction', 'Married women -- Psychology -- Fiction', 'Mentally ill women -- Fiction', 'Sex role -- Fiction', 'Feminist fiction'}",
PG1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1667.0,1745.0,['en'],20862,"{'Ireland -- Politics and government -- 18th century -- Humor', 'Religious satire, English', 'Political satire, English'}",
PG844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1854.0,1900.0,['en'],20033,"{'Identity (Psychology) -- Drama', 'England -- Drama', 'Comedies', 'Foundlings -- Drama'}",
PG1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,['en'],17166,"{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English'}",
PG2701,"Moby Dick; Or, The Whale","Melville, Herman",1819.0,1891.0,['en'],16921,"{'Psychological fiction', 'Whales -- Fiction', 'Adventure stories', 'Mentally ill -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Whaling ships -- Fiction', 'Sea stories', 'Ship captains -- Fiction', 'Whaling -- Fiction'}",
PG1260,Jane Eyre: An Autobiography,"Brontë, Charlotte",1816.0,1855.0,['en'],16296,"{'Love stories', 'Bildungsromans', 'Married people -- Fiction', 'England -- Fiction', 'Governesses -- Fiction', 'Young women -- Fiction', 'Mentally ill women -- Fiction', 'Charity-schools -- Fiction', 'Country homes -- Fiction', 'Orphans -- Fiction', 'Fathers and daughters -- Fiction'}",
PG1232,The Prince,"Machiavelli, Niccolò",1469.0,1527.0,['en'],16160,"{'State, The -- Early works to 1800', 'Political ethics -- Early works to 1800', 'Political science -- Philosophy -- Early works to 1800'}",
PG6130,The Iliad,Homer,-750.0,-650.0,['en'],15594,"{'Epic poetry, Greek -- Translations into English', 'Trojan War -- Poetry', 'Classical literature', 'Achilles (Mythological character) -- Poetry'}",
PG1400,Great Expectations,"Dickens, Charles",1812.0,1870.0,['en'],15579,"{'Bildungsromans', 'Ex-convicts -- Fiction', 'Man-woman relationships -- Fiction', 'Revenge -- Fiction', 'Benefactors -- Fiction', 'England -- Fiction', 'Young men -- Fiction', 'Orphans -- Fiction'}",
PG2591,Grimms' Fairy Tales,"Grimm, Jacob",1785.0,1863.0,['en'],14956,{'Fairy tales -- Germany'},
PG408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",1868.0,1963.0,['en'],14667,{'African Americans'},
PG28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],13433,"{'Fathers and sons -- Fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Brothers -- Fiction', 'Didactic fiction'}",
